"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","8.758834","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","17.501534","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","7.494369","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","8.196432","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","7.877009","0","8"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","23.995811","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","24.421556","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","28.502501","0","22"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","16.583988","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","14.722699","0","17"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","5.522295","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","35.961136","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","47.516933","0","45"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","19.044703","0","23"
"/Game/Car_Dealer/Materials/M_Plastic_1.M_Plastic_1","49","13","13","1","11.755476","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","34.788319","0","67"
"/Game/Creative_Characters_FREE/Materials/M_Color.M_Color","49","11","11","1","5.274354","0","11"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","9.361115","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","8.557178","0","12"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","1089.645264","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","36.903870","0","62"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","7.307492","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","5.147799","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","56.696827","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","74.224464","0","78"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","20.335760","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","9.204353","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","17.005701","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","19.438656","0","29"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","151.782486","0","166"
"/InterchangeAssets/gltf/M_Default.M_Default","49","234","252","6","448.344208","0","252"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","155.537598","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","143.265457","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","124.810455","0","54"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","314.808716","0","212"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","9.399019","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","8.411795","0","15"
"/Game/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","49","26","30","2","20.144979","0","30"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","46.609951","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","47.933620","0","46"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","3.838193","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","3.622188","0","7"
